,Unnamed: 0,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,michelin_star_count,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment Count,Unemployment Rate
97,210,Sushi Nakazawa,2019,40.731716,-74.00451,New York,New York City,10014,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-nakazawa,1,ZCTA5 10014,30344,37.6,133501,128505,1735,1105,3.641576588
98,212,Bâtard,2019,40.719616,-74.00589,New York,New York City,10013,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/batard,1,ZCTA5 10013,28799,37.9,113191,118691,2890,534,1.85423105
99,218,Le Coucou,2019,40.719162,-74.00001,New York,New York City,10013,French,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou,1,ZCTA5 10013,28799,37.9,113191,118691,2890,534,1.85423105
100,48,Jungsik,2019,40.718685,-74.00911,New York,New York City,10013,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik,2,ZCTA5 10013,28799,37.9,113191,118691,2890,534,1.85423105
101,49,Atera,2019,40.716797,-74.00565,New York,New York City,10013,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,2,ZCTA5 10013,28799,37.9,113191,118691,2890,534,1.85423105
102,213,Hirohisa,2019,40.72452,-74.003006,New York,New York City,10012,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hirohisa,1,ZCTA5 10012,23318,34.1,106467,90847,2451,606,2.598850673
103,215,ZZ's Clam Bar,2019,40.727646,-74.00046,New York,New York City,10012,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/zz-s-clam-bar,1,ZCTA5 10012,23318,34.1,106467,90847,2451,606,2.598850673
104,226,The Musket Room,2019,40.723915,-73.99375,New York,New York City,10012,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room,1,ZCTA5 10012,23318,34.1,106467,90847,2451,606,2.598850673
105,227,Uncle Boons,2019,40.721203,-73.99441,New York,New York City,10012,Thai,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/uncle-boons,1,ZCTA5 10012,23318,34.1,106467,90847,2451,606,2.598850673
106,217,Carbone,2019,40.727966,-74.00017,New York,New York City,10003,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
107,222,Gotham Bar and Grill,2019,40.73417,-73.99379,New York,New York City,10003,American,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gotham-bar-and-grill,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
108,223,Nix,2019,40.733166,-73.993515,New York,New York City,10003,Vegetarian,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nix,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
109,229,Gramercy Tavern,2019,40.73849,-73.98868,New York,New York City,10003,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gramercy-tavern,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
110,232,Casa Mono,2019,40.73595,-73.98706,New York,New York City,10003,Spanish,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-mono,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
111,233,Jewel Bako,2019,40.72713,-73.98928,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
112,237,Kanoyama,2019,40.73071,-73.98655,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama,1,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
113,55,Ko,2019,40.72909,-73.98448,New York,New York City,10003,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko,2,ZCTA5 10003,53977,32.5,118161,97391,4081,1604,2.971636067
114,220,Cote,2019,40.73778,-73.99375,New York,New York City,10010,Korean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cote,1,ZCTA5 10010,35906,35.2,132988,102396,3610,808,2.250320281
115,224,Junoon,2019,40.74325,-73.99077,New York,New York City,10010,Indian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/junoon,1,ZCTA5 10010,35906,35.2,132988,102396,3610,808,2.250320281
116,230,The Clocktower,2019,40.7414,-73.987595,New York,New York City,10010,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-clocktower,1,ZCTA5 10010,35906,35.2,132988,102396,3610,808,2.250320281
117,24,Eleven Madison Park,2019,40.7417,-73.98712,New York,New York City,10010,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park,3,ZCTA5 10010,35906,35.2,132988,102396,3610,808,2.250320281
118,225,NoMad,2019,40.74497,-73.98883,New York,New York City,10001,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nomad,1,ZCTA5 10001,24117,36.9,92840,88795,3023,806,3.342040884
119,231,Ai Fiori,2019,40.75013,-73.98357,New York,New York City,10018,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori,1,ZCTA5 10018,8806,33.2,122484,96607,1245,227,2.577787872
120,25,Chef's Table at Brooklyn Fare,2019,40.68872,-73.98581,New York,New York City,10018,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,3,ZCTA5 10018,8806,33.2,122484,96607,1245,227,2.577787872
121,234,The River Café,2019,40.703613,-73.994774,New York,New York City,11201,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-river-cafe,1,ZCTA5 11201,63378,34.9,129248,84901,7391,2239,3.532771624
122,235,Bar Uchū,2019,40.72191,-73.99003,New York,New York City,10002,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu,1,ZCTA5 10002,74479,44.3,36982,33309,20199,2217,2.97667799
123,238,Contra,2019,40.719917,-73.98922,New York,New York City,10002,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/contra,1,ZCTA5 10002,74479,44.3,36982,33309,20199,2217,2.97667799
124,53,Ichimura at Uchū,2019,40.721832,-73.99012,New York,New York City,10002,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu,2,ZCTA5 10002,74479,44.3,36982,33309,20199,2217,2.97667799
125,236,Café China,2019,40.749973,-73.98228,New York,New York City,10016,Chinese,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-china,1,ZCTA5 10016,52886,32.7,126628,103036,4232,1149,2.172597663
126,241,Kajitsu,2019,40.72776,-73.98428,New York,New York City,10016,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu,1,ZCTA5 10016,52886,32.7,126628,103036,4232,1149,2.172597663
127,240,Kyo Ya,2019,40.7266,-73.98526,New York,New York City,10009,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kyo-ya,1,ZCTA5 10009,58293,37,63717,53122,13706,1341,2.300447738
128,244,Tuome,2019,40.724194,-73.9828,New York,New York City,10009,Fusion,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tuome,1,ZCTA5 10009,58293,37,63717,53122,13706,1341,2.300447738
129,242,Agern,2019,40.75234,-73.9775,New York,New York City,10017,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern,1,ZCTA5 10017,15846,39.6,131045,110196,1028,329,2.07623375
130,246,Sushi Yasuda,2019,40.75108,-73.97364,New York,New York City,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda,1,ZCTA5 10017,15846,39.6,131045,110196,1028,329,2.07623375
131,247,Sushi Amane,2019,40.75133,-73.971725,New York,New York City,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-amane,1,ZCTA5 10017,15846,39.6,131045,110196,1028,329,2.07623375
132,54,Sushi Ginza Onodera,2019,40.752396,-73.981575,New York,New York City,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera,2,ZCTA5 10017,15846,39.6,131045,110196,1028,329,2.07623375
133,243,Caviar Russe,2019,40.760685,-73.97355,New York,New York City,10022,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe,1,ZCTA5 10022,31130,46.2,150718,150508,1220,454,1.458400257
134,57,Aquavit,2019,40.76078,-73.97214,New York,New York City,10022,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit,2,ZCTA5 10022,31130,46.2,150718,150508,1220,454,1.458400257
135,248,Café Boulud,2019,40.77439,-73.96414,New York,New York City,10021,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-boulud,1,ZCTA5 10021,44280,43.5,122169,124178,2279,453,1.02303523
136,250,Satsuki,2019,40.801243,-73.95187,New York,New York City,10036,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/satsuki,1,ZCTA5 10036,28487,37.6,95301,82913,4076,797,2.797767403
137,52,Gabriel Kreuther,2019,40.75397,-73.982025,New York,New York City,10036,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther,2,ZCTA5 10036,28487,37.6,95301,82913,4076,797,2.797767403
138,252,Sushi Inoue,2019,40.810448,-73.943726,New York,New York City,10027,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-inoue,1,ZCTA5 10027,64988,31.1,51938,34604,14686,1856,2.855911861
139,253,Meadowsweet,2019,40.710354,-73.96317,New York,New York City,11212,Mediterranean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/meadowsweet,1,ZCTA5 11212,75605,38.3,26521,19569,25556,5058,6.690033728
140,254,Casa Enríque,2019,40.743492,-73.95425,New York,New York City,11101,Mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-enrique,1,ZCTA5 11101,31366,34,75581,51645,5216,1287,4.103169037
141,255,Peter Luger,2019,40.70986,-73.96263,New York,New York City,11211,Steakhouse,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/peter-luger,1,ZCTA5 11211,103123,31,81228,47605,25885,2696,2.614353733
142,256,Oxomoco,2019,40.730057,-73.95538,New York,New York City,11222,Mexican,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco,1,ZCTA5 11222,36872,34.9,93488,56373,3741,898,2.435452376
